age,gender,yearDriving,drivingFrequency,temp_length,temp_decisiontime,temp_decision_made,temp_correct_decision,temp_danger,temp_difficulty,CarPlacedLeft,CarPlacedRight,numS,sAmpMean,sAmpStd,sAmpMax,numF,fMean,fStd,fMax,backMirror,leftMirror,rightMirror,road,sky,pupilChange,pupilMean,pupilStd,Y
22,1,18,2,9,2.41984,4,4,83,84,1,1,15,263.328143906293,197.539276727983,550.807861236566,15,432.3,430.653315987963,1700.5,4,0,1,9,1,0.936822450908999,3.95573084707938,0.202153455953437,0.234917862588882
24,1,18,3,1,4.28451,1,2,0,59,3,2,6,138.225938095269,89.632106665076,291.351626046604,6,110.166666666667,50.6218003104064,182.5,0,0,0,4,2,0.26821238394802,3.40369542413218,0.101420892058384,0.299934736655985
24,1,18,3,6,2.20522,2,2,50,50,2,0,15,184.479459338191,242.490231575614,790.046987526691,15,276.7,141.611868953741,691,0,2,0,13,0,0.839207083528299,3.94013876767611,0.21732974649233,0.472026329448477
24,1,18,3,3,2.60466,1,2,0,60,1,0,10,117.458767347484,98.5898953759104,375.999152259683,10,271.7,251.620326859514,746,0,0,0,10,0,0.442682129503356,3.71759511425295,0.138429539034669,0.268821759999162
24,1,18,3,9,2.48486,1,2,0,39,0,0,22,277.978308394412,273.410189517159,1036.03183469428,22,361.75,526.294407695378,2469,4,1,0,17,0,0.365387686438303,3.717867621,0.156457930171314,0.571703191329978
24,1,18,3,12,2.96586,2,2,49,60,1,1,31,363.604239890351,319.554357465025,1248.56399315373,31,321.91935483871,176.707106854544,852,2,1,4,24,0,1.01059802155917,3.91900804433724,0.224596522420681,0.43028880690634
24,1,18,3,12,2.35088,1,1,0,50,1,0,26,221.099668652568,232.564088763923,839.978965510447,26,437.211538461538,307.083935531539,1358,4,0,1,20,1,0.564390511750069,3.79614594921308,0.128653460920767,0.0549254317122175
24,1,18,3,6,3.79511,2,23,30,30,1,0,20,281.893047350099,314.040209218459,1259.79013430809,20,270.975,247.468151858397,1247,5,2,1,12,0,0.80469273702767,3.7154865394688,0.189124737180425,0.351705794417482
24,1,18,3,1,2.98792,2,2,50,59,0,1,4,270.717501057958,265.024983717723,513.494948855391,4,214.125,199.998072907382,508.5,0,0,0,4,0,0.338021395716758,3.3832763585222,0.126140122245837,0.392526894735351
24,1,18,3,9,3.38921,4,4,40,70,2,1,26,310.799460642384,298.000229991488,1014.06975228531,26,299.538461538462,219.278677626299,894.5,5,3,1,16,1,0.550307415486245,3.7756805542051,0.143350132495268,0.339627325401085
24,1,18,3,3,3.16212,4,3,60,40,2,1,11,286.205199740937,224.438238732564,686.426853350013,11,243.727272727273,237.814777046798,898.5,4,0,0,7,0,0.447547856196604,3.65871623084839,0.126521771811788,0.284185313207629
24,1,18,3,9,1.39314,1,1,0,50,1,0,22,300.449006566426,216.968286081876,644.784198395091,22,367.590909090909,348.226207144137,1238.5,8,1,0,12,1,0.632824164957225,3.67434040724244,0.16442827786002,0.338056404977208
24,1,18,3,3,2.42455,1,1,0,50,1,1,13,277.053728945372,257.727389746582,670.440744958121,13,203.423076923077,81.9689591028839,385.5,3,1,0,9,0,0.307218616755686,3.60751854028987,0.126837562066685,0.417148363005142
24,1,18,3,6,1.75251,2,2,29,49,0,2,13,264.197017245602,202.307930315162,609.878071830755,13,383,411.125639758294,1573,4,0,0,8,1,0.621297534801553,3.60304263950316,0.168626645731917,0.3690688545101
24,1,18,3,1,3.15647,1,23,2,79,0,0,4,260.772619241583,316.13247972727,733.892243452675,4,231.25,168.662631704042,483.5,1,0,0,3,0,0.121291512211171,3.44338272203739,0.0303333513719445,0.38685852161012
24,1,18,3,9,2.19834,2,3,59,60,1,0,22,282.883898356079,263.397346374445,815.564197350521,22,372.727272727273,306.823306033849,1191,4,0,2,16,0,0.812834321238672,3.75199506466333,0.181356745907614,0.410775307314746
24,1,18,3,3,1.05782,4,4,79,30,1,1,12,166.781962682271,148.481531782788,499.274553727706,12,227.333333333333,141.579937801508,600,3,0,0,9,0,0.805241419160347,3.56941010065978,0.240736074084796,0.191968321218629
24,1,18,3,1,2.58286,1,1,39,70,0,1,4,369.542446358299,250.458453878811,663.966604958412,4,191.875,70.3069164449701,290,2,0,0,2,0,0.282414896333177,3.49763056910342,0.0995221833795656,0.287539308405613
24,1,18,3,6,1.4138,1,1,0,63,0,1,22,254.607951726646,256.535497189762,1028.92060189307,22,240.795454545455,136.066568012631,559.5,12,2,0,8,0,0.696218620924599,3.7338318846281,0.254227482654885,0.238552230456004
24,1,18,3,20,1.57527,1,1,10,49,3,0,53,237.194998265774,216.580173833283,712.182789036635,53,349.367924528302,327.550790996065,2081.5,19,0,0,34,0,0.361222582556209,3.77763988202381,0.133045241843104,0.277559224896041
24,1,18,3,9,1.42329,1,1,0,39,1,0,25,299.560276340525,254.899820678774,772.020946930846,25,332.58,368.438475189549,1574.5,9,0,1,14,1,0.587439338097005,3.79973527265214,0.159502492951951,0.154898483135754
24,1,18,3,1,2.45645,1,3,2,66,2,0,3,189.890149931607,180.236407777195,396.167972582338,3,163.666666666667,32.196014246073,198.5,1,0,0,2,0,0.283415666519702,3.29927305841883,0.0803862768156472,0.271255216941608
24,1,18,3,12,2.51762,1,1,18,78,1,1,30,297.244746228828,317.230963814672,1226.46725598362,30,348.433333333333,294.433844022298,1057.5,10,1,2,17,0,0.425672875652417,3.66572670864486,0.105717459112961,0.227980308378385
24,1,18,3,3,1.00789,2,2,30,68,0,1,10,221.302349104766,147.163894012055,445.480877816321,10,218.35,139.140027390475,503,4,0,0,5,1,0.209343411252224,3.60558122191813,0.0824327193666881,0.356760837559123
24,1,18,3,1,1.37288,4,4,59,55,1,1,5,159.017684648943,75.424867160053,264.130256691656,5,141.1,29.0955323030874,185,0,0,0,5,0,0.325412433164879,3.5675568162922,0.113152076730382,0.38749910875496
24,1,18,3,3,1.36417,1,1,8,69,0,1,11,297.377397381317,237.19050861994,610.40558852291,11,191.954545454545,119.069612946682,498.5,3,0,0,8,0,0.277994267705836,3.59740812989323,0.0727190534412625,0.270121866641729
24,1,18,3,6,1.17683,1,1,4,64,1,0,21,278.107060975795,250.065529196201,862.34288424037,21,227.428571428571,136.688174846463,608.5,10,0,0,11,0,0.33584496793216,3.67016558578188,0.145755141238403,0.23231789602201
24,1,18,3,9,2.143915,2,23,39,70,0,1,23,370.723527563092,339.235625779559,1199.1480517434,23,343.54347826087,369.555781035073,1753.5,8,1,0,14,0,0.597281242003173,3.61990475024842,0.138335435473273,0.325632049275828
24,1,18,3,9,1.00726,2,2,0,65,0,0,29,248.624774589245,247.651420841369,1073.48259534098,29,270.241379310345,199.375973830566,887,6,1,0,22,0,0.255837634063007,3.65475551364881,0.094714584878965,0.327520249574083
24,1,18,3,1,3.4141,1,1,34,59,1,0,5,206.938279882047,197.608604061981,449.312010188911,5,145.9,89.3332245024213,295.5,1,0,0,4,0,0.218800954529559,3.34755019468181,0.127081251070546,0.284378792507975
24,1,18,3,6,1.80857,4,4,59,70,2,1,17,208.450509950551,197.883815078924,624.219644836655,17,325.970588235294,465.677009531158,2060,7,0,0,10,0,0.495086293707766,3.60270009149928,0.119333052661435,0.290415072289953
24,1,18,3,6,3.02478,2,3,49,65,1,0,19,266.26996799211,228.828761943188,672.555583204838,19,277.526315789474,255.1825857044,1213.5,8,0,0,11,0,0.422272218535516,3.53303682336017,0.12406311339862,0.335805403654384
24,1,18,3,20,1.13144,1,1,0,60,0,2,44,270.358039966055,213.814001294506,672.667778327459,44,422.909090909091,345.075611409807,1526.5,17,0,0,27,0,0.587369355667222,3.66593443012908,0.146159782839955,0.356015356622176
24,1,18,3,3,1.26459,2,23,29,64,1,1,9,222.877703434258,276.989896319983,787.573060102998,9,287.5,307.228945576422,1089,2,0,0,7,0,0.173380879459651,3.64750674165048,0.0680247560645379,0.317111734141789
23,1,18,5,1,4.60679,1,2,16,79,1,1,4,288.571278183355,396.930618257355,882.041841411166,4,210.625,67.1284527355328,311,0,0,0,4,0,0.0283313101718989,3.47773512306744,0.0216008753109232,0.496190371115885
23,1,18,5,6,4.54538,1,2,19,79,3,0,15,312.193159760672,266.96335990968,714.606152016619,15,336.933333333333,179.32102763586,733,3,1,0,11,0,1.07099464150901,4.04128302252897,0.343165818064918,0.306604693114301
23,1,18,5,9,1.76453,1,2,5,80,1,0,25,406.800809632794,387.223550288492,1190.64747196641,25,321.86,223.05056041176,977.5,9,4,0,12,0,0.642697655805556,4.12045086824804,0.275689651400625,0.231938037907124
23,1,18,5,3,4.98897,4,2,30,81,0,1,5,147.896623708544,213.232891153116,527.638003274973,5,579.2,450.360216937509,1319.5,1,0,0,4,0,0.560722237761759,3.61184418937396,0.239073107403564,0.141344566846462
23,1,18,5,12,4.90185,4,2,34,84,0,0,28,328.802107406559,355.616570756209,1403.00137740488,28,366.321428571429,220.208832461779,980,7,1,7,13,0,1.66836162064111,4.04342581060312,0.386102465943362,0.342096756558774
23,1,18,5,1,1.87771,2,23,84,77,0,1,2,471.114639150418,585.379706734307,885.040599351239,2,167.25,71.064231509248,217.5,0,0,0,1,1,0.439396609703023,3.31484892874746,0.130271928932668,0.365111332315011
23,1,18,5,3,1.5767,3,3,63,78,2,1,11,312.491381744748,285.845095670337,934.542160632681,11,226.772727272727,95.1452478152124,383,4,1,0,5,1,0.693975265804244,3.59721693599521,0.249453675396431,0.138807674888301
23,1,18,5,3,2.41384,1,1,19,78,1,0,8,402.180666595504,342.983849335372,1045.37194337709,8,327.75,185.536673309772,592.5,2,1,0,4,1,0.661273885795135,3.5676369136568,0.183940357249354,0.297330366026237
23,1,18,5,3,3.38477,4,4,34,78,2,0,8,199.49012502475,241.037309690808,700.441050338999,8,317.5,201.475273208118,736.5,0,1,0,7,0,0.529809559243608,3.43798089160664,0.206324929061654,0.274654674780311
23,1,18,5,1,2.71967,2,2,80,80,0,1,2,132.728458673113,8.09444355834565,138.452094603151,2,123.5,33.2340187157677,147,0,0,0,2,0,0.339665750815608,3.1057325510809,0.120333473277598,0.451618544134248
23,1,18,5,9,2.75191,1,4,10,63,1,1,22,316.469367066902,311.37324096969,1203.27500805094,22,366.954545454545,314.928068472291,1228.5,7,1,1,13,0,1.15432371318577,3.78929224826172,0.321940845218862,0.244410997669724
23,1,18,5,6,3.17557,2,2,75,70,0,0,12,368.422527917346,406.700746984573,1235.4508782222,12,382.75,285.696397979012,874,4,2,1,5,0,0.792425979272465,3.74068067916806,0.244573955317857,0.303047507917675
23,1,18,5,1,2.26025,1,1,16,63,0,1,3,48.6426742136682,16.480340348864,59.2078542087111,3,233.166666666667,95.1608287759902,335,0,0,0,3,0,0.263471023372299,3.22020897689926,0.0782379110543552,0.407514184521518
23,1,18,5,9,2.55531,1,1,6,71,0,0,25,286.616617265214,281.114832533355,850.318894591905,25,330.34,171.177218110355,630.5,6,6,0,13,0,0.946405512781261,3.70171984409883,0.319154581909854,0.181264048974033
23,1,18,5,9,2.3179,3,3,71,74,1,0,19,302.422840607,231.017296279305,724.964999155132,19,425.736842105263,338.666681775797,1323.5,5,0,1,13,0,1.29958766782922,3.7927490872556,0.357898902851173,0.0907065955999561
23,1,18,5,20,2.4304,1,1,18,62,0,0,46,326.955865727147,298.284263881401,1157.5170075306,46,389.086956521739,324.53974768291,1826.5,13,5,5,21,2,1.26666079041124,3.97968355447599,0.349204035649337,0.359725646531517
23,1,18,5,12,2.014,1,1,30,77,1,0,30,418.29626644779,357.624999337191,1127.96070521096,30,365.066666666667,241.759096870294,1065.5,5,3,3,19,0,0.872949742904862,4.00681440048496,0.296058213662658,0.300662177744082
23,1,18,5,6,2.43286,3,23,85,61,1,0,16,292.69904784056,323.341242682472,1078.22628075001,16,311.78125,206.490352377538,897.5,6,2,1,7,0,0.999166067343517,3.49463063088696,0.254501344443975,0.146138136112372
23,1,18,5,6,2.35323,1,1,3,76,0,0,16,368.596714952755,377.64697713752,1172.95206317223,16,329.21875,199.328286063469,735.5,4,3,2,7,0,0.787610700713801,3.6550872683281,0.266018542921079,0.253630415774355
23,1,18,5,6,2.74692,3,3,71,74,2,0,14,247.763805915954,317.534718658095,1168.34599434414,14,303.428571428571,141.384208826497,580,5,2,0,7,0,0.952162338658483,3.83713820120159,0.229742986656,0.242194998855382
23,1,18,5,3,1.76548,2,2,70,83,0,0,5,461.046499176213,253.385377432673,732.354028117549,5,538,591.202693667747,1523,1,0,1,2,1,0.801627305375165,3.69424217611977,0.271417099041497,0.355387065957209
23,1,18,5,3,2.4786,1,1,21,77,0,0,6,300.772937512051,198.509819838834,543.195770417996,6,415,267.890089402352,703,1,0,0,5,0,0.338124848284331,3.54235105832988,0.130951004677054,0.258506343684802
23,1,18,5,1,1.72378,4,4,75,73,1,1,2,101.122356383709,12.1169541887516,109.690336857902,2,160.5,25.4558441227157,178.5,0,0,0,2,0,0.266834577199443,3.3218902301981,0.0793705874788913,0.440566697488835
23,1,18,5,9,4.21297,3,23,68,86,0,0,15,381.438823921522,314.083905882363,804.422365738298,15,461.3,440.058348403936,1519,0,2,1,11,1,1.03041918314159,3.84848312711026,0.290349421966673,0.290143935882084
23,1,18,5,20,2.23253,1,1,5,72,0,1,54,337.994873987557,339.44940507315,1307.01655020126,54,321.509259259259,276.571589741736,1824.5,13,8,5,28,0,1.04416204548515,3.99823173711021,0.300656895648297,0.468954607294998
