numS,sAmpMean,sAmpStd,sAmpMax,numF,fMean,fStd,fMax,backMirror,leftMirror,rightMirror,road,sky,pupilChange,pupilMean,pupilStd,SA
19,282.6778653,271.1037891,772.1694519,19,601.8684211,470.8815563,1916.5,6,1,0,11,1,1.314057929,4.11101198,0.341003068,0.198184946
8,206.0929824,169.4068805,518.769084,8,355,223.5021572,788.5,5,0,0,3,0,0.808433284,3.88514443,0.274972077,0.418684763
9,242.8447104,149.8727324,409.4097733,9,273.7777778,220.4299933,849.5,2,0,0,7,0,0.890061904,4.133320487,0.294078001,0.218748616
12,275.9506753,277.2266315,760.946138,12,439.125,357.5627806,1208,5,0,0,7,0,0.829428232,3.959724129,0.226811385,0.444636401
17,223.7629839,211.6112787,672.3194516,17,508.1764706,422.4748861,1589.5,6,0,0,11,0,0.846812191,4.218960854,0.22615844,0.44984133
1,277.0776485,237.7193652,663.1562369,1,1036,0,1036,0,0,0,1,0,0.352371996,3.602502169,0.120015798,0.449156724
6,290.6341995,289.8081443,716.4453259,6,338.5,171.7646646,586,1,0,0,4,1,0.938602925,3.921944107,0.270795849,0.36011692
19,211.2275249,223.3884449,621.0823718,19,444.2631579,561.4870476,2514,10,0,0,9,0,0.891948509,4.281952261,0.214428525,0.21948738
11,240.2316429,267.4804998,750.481702,11,517.7727273,775.0197212,2826,4,0,0,4,3,0.717650631,4.260945626,0.272973241,0.29086918
2,256.8026498,290.9792959,462.5560831,2,286,140.0071427,385,0,0,0,2,0,0.411263291,3.866739592,0.138265814,0.372843921
2,491.356025,232.0551946,655.4438267,2,374,169.7056275,494,0,0,0,2,0,0.387665118,3.633102055,0.137347312,0.364321124
21,381.2749192,360.234608,1297.018976,21,333.8095238,282.2856477,1146,7,1,2,9,2,1.02330325,4.225996246,0.266046491,0.191332697
5,63.5616042,26.44370131,103.2690781,5,3783,6573.897512,15524.5,0,0,0,5,0,0.665208559,4.120652552,0.181958135,0.281809185
9,331.514125,297.9701027,909.3722519,9,295.9444444,159.0549128,627,3,1,0,5,0,0.722612742,4.076536469,0.25443152,0.230182753
38,306.5632925,283.8780715,1211.332045,38,492.3684211,704.8460219,3612,22,1,2,13,0,1.332783679,4.234763962,0.264921712,0.079850641
20,302.8333978,256.3415855,730.1707489,20,559,704.4365796,2890,6,0,1,13,0,0.910758382,4.14525329,0.229227335,0.290642126
17,326.9919875,251.9055723,625.5447626,17,498.3823529,470.3614478,2008.5,7,0,0,10,0,1.032781506,4.054931908,0.218537321,0.077838903
15,224.1880128,248.4664527,723.2341547,15,550.5,548.7755852,2173,7,0,0,8,0,0.702951783,3.718719127,0.163539143,0.172661216
12,271.7193837,227.3848661,696.8467425,12,244.4583333,135.9027825,577.5,5,0,0,7,0,0.591889123,3.876825703,0.220499402,0.142012078
3,453.6023905,305.2518051,644.4479576,3,295,166.2024368,479.5,2,0,0,1,0,0.398369206,3.34923686,0.107138798,0.431695757
3,319.8745395,293.7541335,635.5731901,3,278.5,80.63963046,334,1,0,0,2,0,0.305577769,3.505549508,0.090233607,0.121658176
9,292.9261804,254.8514465,697.3744063,9,304.5555556,169.1662356,609.5,3,1,0,5,0,0.757244221,3.826902519,0.241335489,0.217067736
13,175.1325327,161.2712661,500.742274,13,440.2307692,386.3377525,1331.5,4,0,0,8,1,0.540630193,3.721651575,0.161497379,0.13654211
2,662.8693793,11.3205342,670.8742058,2,393,199.4041123,534,1,0,0,1,0,0.473798115,3.486957795,0.151518421,0.27271708
6,233.8694018,217.4247422,621.6502312,6,227.5,136.712472,466.5,2,0,0,3,1,0.83437447,3.768813896,0.233404364,0.201772953
13,217.9195383,180.0290399,552.9478389,13,253.6923077,194.2447488,875,4,0,0,7,2,0.725432734,4.004067225,0.266430053,0.192115177
15,263.3281439,197.5392767,550.8078612,15,432.3,430.653316,1700.5,4,0,1,9,1,0.936822451,3.955730847,0.202153456,0.234917863
6,138.2259381,89.63210667,291.351626,6,110.1666667,50.62180031,182.5,0,0,0,4,2,0.268212384,3.403695424,0.101420892,0.299934737
15,184.4794593,242.4902316,790.0469875,15,276.7,141.611869,691,0,2,0,13,0,0.839207084,3.940138768,0.217329746,0.472026329
10,117.4587673,98.58989538,375.9991523,10,271.7,251.6203269,746,0,0,0,10,0,0.44268213,3.717595114,0.138429539,0.26882176
22,277.9783084,273.4101895,1036.031835,22,361.75,526.2944077,2469,4,1,0,17,0,0.365387686,3.717867621,0.15645793,0.571703191
31,363.6042399,319.5543575,1248.563993,31,321.9193548,176.7071069,852,2,1,4,24,0,1.010598022,3.919008044,0.224596522,0.430288807
26,221.0996687,232.5640888,839.9789655,26,437.2115385,307.0839355,1358,4,0,1,20,1,0.564390512,3.796145949,0.128653461,0.054925432
20,281.8930474,314.0402092,1259.790134,20,270.975,247.4681519,1247,5,2,1,12,0,0.804692737,3.715486539,0.189124737,0.351705794
4,270.7175011,265.0249837,513.4949489,4,214.125,199.9980729,508.5,0,0,0,4,0,0.338021396,3.383276359,0.126140122,0.392526895
26,310.7994606,298.00023,1014.069752,26,299.5384615,219.2786776,894.5,5,3,1,16,1,0.550307415,3.775680554,0.143350132,0.339627325
11,286.2051997,224.4382387,686.4268534,11,243.7272727,237.814777,898.5,4,0,0,7,0,0.447547856,3.658716231,0.126521772,0.284185313
22,300.4490066,216.9682861,644.7841984,22,367.5909091,348.2262071,1238.5,8,1,0,12,1,0.632824165,3.674340407,0.164428278,0.338056405
13,277.0537289,257.7273897,670.440745,13,203.4230769,81.9689591,385.5,3,1,0,9,0,0.307218617,3.60751854,0.126837562,0.417148363
13,264.1970172,202.3079303,609.8780718,13,383,411.1256398,1573,4,0,0,8,1,0.621297535,3.60304264,0.168626646,0.369068855
4,260.7726192,316.1324797,733.8922435,4,231.25,168.6626317,483.5,1,0,0,3,0,0.121291512,3.443382722,0.030333351,0.386858522
22,282.8838984,263.3973464,815.5641974,22,372.7272727,306.823306,1191,4,0,2,16,0,0.812834321,3.751995065,0.181356746,0.410775307
12,166.7819627,148.4815318,499.2745537,12,227.3333333,141.5799378,600,3,0,0,9,0,0.805241419,3.569410101,0.240736074,0.191968321
4,369.5424464,250.4584539,663.966605,4,191.875,70.30691644,290,2,0,0,2,0,0.282414896,3.497630569,0.099522183,0.287539308
22,254.6079517,256.5354972,1028.920602,22,240.7954545,136.066568,559.5,12,2,0,8,0,0.696218621,3.733831885,0.254227483,0.23855223
53,237.1949983,216.5801738,712.182789,53,349.3679245,327.550791,2081.5,19,0,0,34,0,0.361222583,3.777639882,0.133045242,0.277559225
25,299.5602763,254.8998207,772.0209469,25,332.58,368.4384752,1574.5,9,0,1,14,1,0.587439338,3.799735273,0.159502493,0.154898483
3,189.8901499,180.2364078,396.1679726,3,163.6666667,32.19601425,198.5,1,0,0,2,0,0.283415667,3.299273058,0.080386277,0.271255217
30,297.2447462,317.2309638,1226.467256,30,348.4333333,294.433844,1057.5,10,1,2,17,0,0.425672876,3.665726709,0.105717459,0.227980308
10,221.3023491,147.163894,445.4808778,10,218.35,139.1400274,503,4,0,0,5,1,0.209343411,3.605581222,0.082432719,0.356760838
5,159.0176846,75.42486716,264.1302567,5,141.1,29.0955323,185,0,0,0,5,0,0.325412433,3.567556816,0.113152077,0.387499109
11,297.3773974,237.1905086,610.4055885,11,191.9545455,119.0696129,498.5,3,0,0,8,0,0.277994268,3.59740813,0.072719053,0.270121867
21,278.107061,250.0655292,862.3428842,21,227.4285714,136.6881748,608.5,10,0,0,11,0,0.335844968,3.670165586,0.145755141,0.232317896
23,370.7235276,339.2356258,1199.148052,23,343.5434783,369.555781,1753.5,8,1,0,14,0,0.597281242,3.61990475,0.138335435,0.325632049
29,248.6247746,247.6514208,1073.482595,29,270.2413793,199.3759738,887,6,1,0,22,0,0.255837634,3.654755514,0.094714585,0.32752025
5,206.9382799,197.6086041,449.3120102,5,145.9,89.3332245,295.5,1,0,0,4,0,0.218800955,3.347550195,0.127081251,0.284378793
17,208.45051,197.8838151,624.2196448,17,325.9705882,465.6770095,2060,7,0,0,10,0,0.495086294,3.602700091,0.119333053,0.290415072
19,266.269968,228.8287619,672.5555832,19,277.5263158,255.1825857,1213.5,8,0,0,11,0,0.422272219,3.533036823,0.124063113,0.335805404
44,270.35804,213.8140013,672.6677783,44,422.9090909,345.0756114,1526.5,17,0,0,27,0,0.587369356,3.66593443,0.146159783,0.356015357
9,222.8777034,276.9898963,787.5730601,9,287.5,307.2289456,1089,2,0,0,7,0,0.173380879,3.647506742,0.068024756,0.317111734
4,288.5712782,396.9306183,882.0418414,4,210.625,67.12845274,311,0,0,0,4,0,0.02833131,3.477735123,0.021600875,0.496190371
15,312.1931598,266.9633599,714.606152,15,336.9333333,179.3210276,733,3,1,0,11,0,1.070994642,4.041283023,0.343165818,0.306604693
25,406.8008096,387.2235503,1190.647472,25,321.86,223.0505604,977.5,9,4,0,12,0,0.642697656,4.120450868,0.275689651,0.231938038
5,147.8966237,213.2328912,527.6380033,5,579.2,450.3602169,1319.5,1,0,0,4,0,0.560722238,3.611844189,0.239073107,0.141344567
28,328.8021074,355.6165708,1403.001377,28,366.3214286,220.2088325,980,7,1,7,13,0,1.668361621,4.043425811,0.386102466,0.342096757
2,471.1146392,585.3797067,885.0405994,2,167.25,71.06423151,217.5,0,0,0,1,1,0.43939661,3.314848929,0.130271929,0.365111332
11,312.4913817,285.8450957,934.5421606,11,226.7727273,95.14524782,383,4,1,0,5,1,0.693975266,3.597216936,0.249453675,0.138807675
8,402.1806666,342.9838493,1045.371943,8,327.75,185.5366733,592.5,2,1,0,4,1,0.661273886,3.567636914,0.183940357,0.297330366
8,199.490125,241.0373097,700.4410503,8,317.5,201.4752732,736.5,0,1,0,7,0,0.529809559,3.437980892,0.206324929,0.274654675
2,132.7284587,8.094443558,138.4520946,2,123.5,33.23401872,147,0,0,0,2,0,0.339665751,3.105732551,0.120333473,0.451618544
22,316.4693671,311.373241,1203.275008,22,366.9545455,314.9280685,1228.5,7,1,1,13,0,1.154323713,3.789292248,0.321940845,0.244410998
12,368.4225279,406.700747,1235.450878,12,382.75,285.696398,874,4,2,1,5,0,0.792425979,3.740680679,0.244573955,0.303047508
3,48.64267421,16.48034035,59.20785421,3,233.1666667,95.16082878,335,0,0,0,3,0,0.263471023,3.220208977,0.078237911,0.407514185
25,286.6166173,281.1148325,850.3188946,25,330.34,171.1772181,630.5,6,6,0,13,0,0.946405513,3.701719844,0.319154582,0.181264049
19,302.4228406,231.0172963,724.9649992,19,425.7368421,338.6666818,1323.5,5,0,1,13,0,1.299587668,3.792749087,0.357898903,0.090706596
46,326.9558657,298.2842639,1157.517008,46,389.0869565,324.5397477,1826.5,13,5,5,21,2,1.26666079,3.979683554,0.349204036,0.359725647
30,418.2962664,357.6249993,1127.960705,30,365.0666667,241.7590969,1065.5,5,3,3,19,0,0.872949743,4.0068144,0.296058214,0.300662178
